,,,,,,
Texas,,,,,, 
,,,,,,
       ,LAT  ,LON  ,NAME
[ABI]  ,32.42,99.68,"Abilene,TX",,,
[ALI]  ,27.73,98.03,"Alice,TX",,,
[AMA]  ,35.23,101.70,"Amarillo,TX",,,
[AUS]  ,30.30,97.70,"Austin,TX",,,
[BSM]  ,30.20,97.68,"Bergstrom Af,TX",,,
[BGS]  ,32.39,101.48,"Big Sky,TX",,,
[HCA]  ,32.30,101.45,"Big Spring,TX",,,
[BRO]  ,25.90,97.43,"Brownsville,TX",,,
[BWD]  ,31.79,98.96,"Brownwood,TX",,,
[FWH]  ,32.78,97.43,"Carswell AFB,TX",,,
[NIR]  ,28.37,97.67,"Chase NAS,TX",,,
[CDS]  ,34.43,100.28,"Childress,TX",,,
[CLL]  ,30.58,96.37,"College Stn,TX",,,
[CRP]  ,27.77,97.50,"Corpus Chrst,TX",,,
[NGP]  ,27.70,97.28,"Corpus Chrst,TX",,,
[COT]  ,28.45,99.22,"Cotulla,TX",,,
[DWH]  ,30.07,95.55,"D.w. Hooks,TX",,,
[DHT]  ,36.02,102.55,"Dalhart,TX",,,
[NBE]  ,32.73,96.97,"Dallas NAS,TX",,,
[ADS]  ,32.97,96.83,"Dallas/Addis,TX",,,
[DFW]  ,32.90,97.03,"Dallas/FW,TX",,,
[DAL]  ,32.85,96.85,"Dallas/Love,TX",,,
[RBD]  ,32.68,96.87,"Dallas/Redbr,TX",,,
[DRT]  ,29.37,100.92,"Del Rio,TX",,,
[DYS]  ,32.43,99.85,"Dyess AFB,TX",,,
[ELP]  ,31.80,106.40,"El Paso,TX",,,
[EFD]  ,29.62,95.17,"Ellington Af,TX",,,
[FTW]  ,32.82,97.35,"Fort Worth,TX",,,
[HLR]  ,31.15,97.72,"Ft Hood Aaf,TX",,,
[GLS]  ,29.27,94.87,"Galveston,TX",,,
[GRK]  ,31.07,97.83,"Gray AFB,TX",,,
[GVT]  ,33.07,96.07,"Greenville,TX",,,
[GDP]  ,31.83,104.80,"Guadalupe Ps,TX",,,
[HRL]  ,26.23,97.67,"Harlingen,TX",,,
[HDO]  ,29.35,99.17,"Hondo,TX",,,
[IAH]  ,29.97,95.35,"Houston,TX",,,
[HOU]  ,29.65,95.28,"Houston/Hobby,TX",,,
[JCT]  ,30.50,99.77,"Junction,TX",,,
[SKF]  ,29.38,98.58,"Kelly AFB,TX",,,
[ERV]  ,29.98,99.08,"Kerrville,TX",,,
[ILE]  ,31.08,97.68,"Killeen,TX",,,
[NQI]  ,27.50,97.82,"Kingsville,TX",,,
[LRD]  ,27.53,99.47,"Laredo Intl,TX",,,
[DLF]  ,29.37,100.78,"Laughlin AFB,TX",,,
[GGG]  ,32.38,94.72,"Longview,TX",,,
[LBB]  ,33.65,101.82,"Lubbock,TX",,,
[LFK]  ,31.23,94.75,"Lufkin,TX",,,
[MRF]  ,30.37,104.02,"Marfa,TX",,,
[MFE]  ,26.18,98.23,"Mcallen,TX",,,
[MAF]  ,31.95,102.18,"Midland,TX",,,
[MWL]  ,32.78,98.07,"Mineral Wlls,TX",,,
[PSX]  ,28.72,96.25,"Palacios,TX",,,
[PRX]  ,33.63,95.45,"Paris/Cox,TX",,,
[PVW]  ,34.17,101.71,"Plainview,TX",,,
[BPT]  ,30.58,94.02,"Port Arthur,TX",,,
[RND]  ,29.53,98.28,"Randolph AFB,TX",,,
[REE]  ,33.60,102.05,"Reese AFB,TX",,,
[RKP]  ,28.08,97.03,"Rockport,TX",,,
[SJT]  ,31.37,100.50,"San Angelo,TX",,,
[SAT]  ,29.53,98.47,"San Antonio,TX",,,
[SSF]  ,29.33,98.47,"San Antonio,TX",,,
[P07]  ,30.17,102.42,"Sanderson,TX",,,
[F39]  ,33.72,96.67,"Sherman-Deni,TX",,,
[T46]  ,28.03,95.87,"South Brazos,TX",,,
[SEP]  ,32.22,98.18,"Stephenville,TX",,,
[TPL]  ,31.15,97.42,"Temple,TX",,,
[TYR]  ,32.37,95.40,"Tyler/Pounds,TX",,,
[VCT]  ,28.85,96.92,"Victoria,TX",,,
[ACT]  ,31.62,97.22,"Waco-Madison,TX",,,
[SPS]  ,33.98,98.50,"Wichita Flls,TX",,,
[INK]  ,31.78,103.20,"Wink,TX",,,
